Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Colombia,COL,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.297851857,0.292378448,0.28604557,0.282390227,0.265233859,0.257796969,0.244798077,0.254592345,0.25123737,0.222255623,0.222760678,0.216410448,0.200155554,0.186717926,0.172304289,0.163812615,0.148922774,0.139391321,0.133724718,0.136544977,0.132159942,0.131674594,0.126809778,0.131340895,0.128141663,0.128517227,0.125528106,0.109179247,0.106217119,0.099407096,0.102777715
Comoros,COM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.100385097,0.107653855,0.099240364,0.09812961,0.103644219,0.102033497,0.10359234,0.103671084,0.110704603,0.112564861,0.107497364,0.107530954,0.103380792,0.126444422,0.132495023,0.119866239,0.132622256,0.083221493,0.080157322,0.094928978,0.108026706,0.090837945,0.088064229,0.098313342,0.083319937,0.088250286,0.095634263,0.113050308,0.11556468,0.120224878,0.119637846
Cabo Verde,CPV,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.468778718,0.413104972,0.392167318,0.333516916,0.278417953,0.273787983,0.26624823,0.243700945,0.230933686,0.243946293,0.215928114,0.242158448,0.247716159,0.249304102,0.21869081,0.215256909,0.222156617,0.166562699,0.15789209,0.170967227,0.1756698,0.173588435,0.162773314,0.154445733,0.151773173,0.145024256,0.14533347,0.145137104,0.139001089,0.132511124,0.166077744
Costa Rica,CRI,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.183211419,0.184783764,0.224178178,0.206072384,0.223957064,0.208841574,0.190451873,0.176209024,0.18147932,0.172360004,0.159453301,0.165175484,0.16018172,0.158097213,0.151119618,0.148752212,0.140515857,0.146591051,0.135750596,0.1303385,0.12065907,0.118401261,0.110914139,0.109313223,0.101653338,0.09097937,0.085698061,0.081153207,0.076621727,0.069214808,0.062690885
Caribbean small states,CSS,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.74288553,0.710100372,0.685671914,0.595354606,0.536469948,0.51934866,0.512360747,0.504042479,0.508627096,0.488198472,0.455454928,0.45940658,0.446838426,0.4573071,0.438057613,0.427690521,0.426026768,0.407465679,0.369406652,0.355162971,0.368316255,0.369558125,0.354842074,0.360135429,0.348944139,0.345226408,0.329714065,0.306507218,0.306374817,0.296375058,0.277245116
Cuba,CUB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.593095857,0.633710433,0.607446909,0.616796538,0.594325307,0.525522712,0.542277775,0.52863238,0.518900364,0.50889715,0.482359751,0.435884941,0.428832057,0.449174599,0.411849801,0.385325943,0.354941658,0.329294208,0.309897049,0.302250968,0.284908032,0.269337928,0.258109461,0.245507138,0.265634042,0.254068756,0.237343462,0.223680119,0.203986837,0.185130562,0.181903348
Czechia,CZE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.164686161,1.163174907,1.119209005,1.045827037,0.951086074,0.869934765,0.847919232,0.824888875,0.776752215,0.70964066,0.748923342,0.690547477,0.645873262,0.619400602,0.579935891,0.540258752,0.50034806,0.459650253,0.4086633,0.39058134,0.390941775,0.365373742,0.349019914,0.317595004,0.292197162,0.282982946,0.270038039,0.251745403,0.234898616,0.207092267,0.193896511
Germany,DEU,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.617900212,0.555092523,0.509798074,0.499661812,0.471776069,0.454416538,0.45849828,0.432901011,0.416079209,0.386189102,0.371241618,0.362783592,0.346246851,0.338979395,0.317560518,0.306014775,0.289432707,0.262526263,0.254414034,0.243689725,0.242701312,0.218586465,0.21797447,0.213900794,0.193325418,0.190871384,0.179379776,0.16691354,0.154668225,0.138076481,0.128514988
Djibouti,DJI,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,0.154149185,0.104335483,0.107062768,0.090656344,0.087112595,0.083505691,0.080228783,0.078062365
Dominica,DMA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.207341474,0.197891927,0.189936603,0.191156664,0.196436114,0.223605763,0.178631691,0.224609965,0.218260943,0.236169288,0.276390534,0.300262247,0.230982969,0.245049751,0.275035599,0.272463207,0.264282871,0.255511616,0.236463356,0.235011923,0.242921225,0.210303547,0.236621869,0.23787284,0.231991709,0.228128255,0.214180403,0.204330517,0.192348416,0.188638339,0.208790358
Denmark,DNK,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.554178235,0.637741832,0.555674707,0.56495559,0.559415002,0.505447383,0.58722345,0.482878116,0.436075239,0.399929379,0.343685105,0.343807418,0.326855115,0.356513544,0.301808318,0.271252436,0.286396774,0.250690755,0.221053298,0.215183847,0.201734508,0.174237346,0.152544691,0.152307764,0.132504412,0.120915155,0.118703511,0.103982652,0.099488835,0.085250038,0.077217648
Dominican Republic,DOM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.300720494,0.301686235,0.310025397,0.279141518,0.311646961,0.307142822,0.305843079,0.314614612,0.334019607,0.332949819,0.326396941,0.316767421,0.328369687,0.292664482,0.256458533,0.245757665,0.237968603,0.218445228,0.207211192,0.194803848,0.186925081,0.179558059,0.183457451,0.169722464,0.156601954,0.155650826,0.146821482,0.133859273,0.131599894,0.125048559,0.117473367
Algeria,DZA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.353647633,0.365442442,0.353180719,0.380737713,0.383387685,0.375695233,0.352942319,0.335562592,0.316641527,0.314135845,0.305635197,0.28511508,0.278558141,0.272707682,0.258393893,0.248991077,0.251674171,0.243978331,0.24514168,0.249594378,0.242320056,0.24404389,0.271317096,0.279171467,0.291888864,0.327370922,0.328086103,0.324627345,0.326813154,0.329560058,0.324672528
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.14186038,1.086524625,1.007355436,0.970552494,0.903652295,0.899465465,0.817503411,0.775508713,0.776924671,0.716152868,0.688340466,0.666672797,0.651517394,0.674757793,0.688963635,0.685274892,0.658946301,0.620237796,0.579001721,0.568211017,0.561195646,0.553249867,0.520827698,0.508904848,0.487720461,0.465957996,0.444390409,0.429837321,0.415095165,0.395973392,0.391972956
Early-demographic dividend,EAR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.433142363,0.419132487,0.403617856,0.398665139,0.39705573,0.392278514,0.382467692,0.378056214,0.385519117,0.383184064,0.371540957,0.364940138,0.363036197,0.351589712,0.338225081,0.322363801,0.308991435,0.300264166,0.293394307,0.293375178,0.285530574,0.275909301,0.271548408,0.26308966,0.265193292,0.260458526,0.251816502,0.245673217,0.236566268,0.225883625,0.215663957
